no,code,district,road,location,type,lat,long,folder_url
1,TNS 001,คลองสาน,เจริญนคร,"ข้างซ.เจริญนคร 56, ใกล้อยัยการเด้นพลาซ่า",Type A,13.707925,100.493327,
2,TNS 002,คลองสาน,กรุงธนบุรี,"หน้าอาคารสินสาธร หาวเวอร์ (1/2), ก่อนถึงซ.กรุงธนบุรี 3",Type A,13.720526,100.502411,
3,TNS 003,คลองสาน,กรุงธนบุรี,"หน้าอาคารสินสาธร หาวเวอร์ (2/2), ก่อนถึงซ.กรุงธนบุรี 3",Type A,13.720471,100.499853,
4,TNS 004,คลองสาน,กรุงธนบุรี,ตรงข้ามบริษัท อาคเนย์ประกันภัย จำกัด (ใกล้ปั๊มน้ำมัน Caltex),Type A,13.721083,100.492746,
5,TNS 005,คลองสาน,กรุงธนบุรี,"ตรงข้ามบริษัท อาคเนย์ประกันภัย จำกัด, มาจากแยกตลาดกลิ้น (ก่อนถึงซ.กรุงธนบุรี 1, เยื้องซ.กรุงธนบุรี 2",Type A,13.721242,100.495408,
6,TNS 006,คลองสาน,กรุงธนบุรี,ใกล้แยกตลาดกลิน,Type A,13.720488,100.493599,
7,TNS 007,คลองสาน,กรุงธนบุรี,"เข้งสะพานลอยใกล้ลัภาคารไทยชีวิวัฒน์, ก่อนถึงซ.กรุงธนบุรี 4",Type A,13.72061,100.497322,
8,TNS 008,คลองสาน,กรุงธนบุรี,"หน้าอาคารศูนย์ 28, ก่อนถึงซ.กรุงธนบุรี 6 (เยื้องซ.กรุงธนบุรีศรีอยุธยา)",Type A,13.7206564,100.500703,
9,TNS 009,คลองสาน,กรุงธนบุรี,"ข้างสถานีนายเมือง 28, ก่อนถึงซ.กรุงธนบุรี 6 (เยื้องซ.กรุงธนบุรีศรีอยุธยา)",Type A,13.7206506,100.50039,
10,TNS 010,คลองสาน,เจริญนคร,หน้าวัดตรอตตัด (ใกล้ โรงเรียนสันตินีย์),Type A,13.714329,100.504642,
11,TNS 011,คลองสาน,เจริญนคร,หน้าโครงการบ้าน Q-House,Type A,13.7213071,100.501384,
