timestamp,code,damage_items,notes
2026-04-29 09:21:00,TNS 095,พลังงา:9;เก้าอี้:15;หลอดไฟ:2,
2026-06-10 11:37:00,ES 143,ไม่เสีย,
2026-04-10 19:40:00,ES 094,ไม่เสีย,
2026-04-09 08:55:00,TNS 007,ไม่เสีย,
2026-05-31 20:26:00,ES 473,หลอดไฟ:4;เก้าอี้:18;พลังงา:3;ทำความสะอาด;ระบบไฟ,
2026-04-13 18:27:00,TNS 238,ไม่เสีย,
2026-04-14 11:12:00,ES 608,เก้าอี้:4;หลอดไฟ:1;ทำสี/ปรับปรุง,
2026-05-28 10:27:00,ES 164,ไม่เสีย,
2026-05-30 11:55:00,ES 488,ไม่เสีย,
2026-04-12 20:54:00,ES 207,พลังงา:1;หลอดไฟ:9,
2026-05-23 15:30:00,MS 181,ไม่เสีย,
2026-05-22 08:10:00,ES 584,ไม่เสีย,
2026-04-25 12:13:00,NS 062,เก้าอี้:10;พลังงา:7;ทำความสะอาด;ระบบไฟ,
2026-04-08 16:05:00,SS 188,พลังงา:1;หลอดไฟ:1;เก้าอี้:19;Solar เสีย,
2026-04-16 17:15:00,MS 149,พลังงา:2;Solar เสีย;ทำความสะอาด,
2026-05-04 11:42:00,ES 338,พลังงา:2;ทำสี/ปรับปรุง,
2026-06-25 18:19:00,MS 161,เก้าอี้:13,
2026-06-08 11:32:00,MS 128,หลอดไฟ:8;ระบบไฟ;ทำความสะอาด,
2026-05-15 09:56:00,ES 434,ไม่เสีย,
2026-05-07 10:28:00,TNS 025,ไม่เสีย,
2026-04-14 19:35:00,ES 560,เก้าอี้:4;หลอดไฟ:3;พลังงา:5,
2026-05-07 17:13:00,TNS 090,ไม่เสีย,
2026-04-07 09:40:00,TNS 052,พลังงา:5;ทำความสะอาด;Solar เสีย,
2026-05-27 16:45:00,SS 214,หลอดไฟ:6;พลังงา:3;ทำสี/ปรับปรุง;ระบบไฟ,
2026-04-05 13:37:00,ES 147,หลอดไฟ:2;Solar เสีย;ทำสี/ปรับปรุง,
2026-05-16 11:43:00,SS 134,หลอดไฟ:5;พลังงา:6,
2026-04-14 13:49:00,SS 187,ไม่เสีย,
2026-05-23 08:11:00,ES 355,พลังงา:4;หลอดไฟ:3,
2026-04-05 15:14:00,NS 229,เก้าอี้:9;หลอดไฟ:3;ระบบไฟ;Solar เสีย,
2026-05-29 13:19:00,TNS 146,ไม่เสีย,
2026-05-13 12:55:00,ES 515,หลอดไฟ:1;Solar เสีย;ทำความสะอาด,
2026-05-06 13:41:00,ES 339,ไม่เสีย,
