timestamp,code,round,team,status,reason
2026-02-14 09:12:00,MS 052,1,ทีม A,แก้ไขเรียบร้อย,
2026-01-27 10:26:00,ES 203,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-19 17:58:00,TNS 116,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-17 19:03:00,SS 218,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-05 13:42:00,MS 087,1,ทีม B,แก้ไขเรียบร้อย,
2026-01-21 10:29:00,ES 304,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-13 20:55:00,ES 286,1,ทีม B,แก้ไขเรียบร้อย,
2026-01-13 11:17:00,ES 079,1,ทีม B,แก้ไขเรียบร้อย,
2026-01-20 20:18:00,ES 603,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-01 13:30:00,NS 101,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-20 19:17:00,TNS 078,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-13 16:24:00,ES 289,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-19 20:09:00,TNS 207,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-15 09:22:00,TNS 097,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-17 15:13:00,NS 094,1,ทีม A,แก้ไขเรียบร้อย,
2026-01-18 16:44:00,NS 052,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-09 19:37:00,SS 147,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-12 16:14:00,ES 011,1,ทีม A,แก้ไขเรียบร้อย,
2026-01-27 13:45:00,ES 163,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-19 10:00:00,ES 039,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-26 15:30:00,ES 538,1,ทีม A,แก้ไขเรียบร้อย,
2026-01-19 13:18:00,ES 446,1,ทีม A,แก้ไขเรียบร้อย,
2026-01-06 18:36:00,ES 311,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-16 08:58:00,SS 009,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-23 10:59:00,TNS 142,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-20 15:11:00,SS 133,1,ทีม B,แก้ไขไม่ได้,รอวัสดุจาก supplier
2026-01-01 12:36:00,NS 216,1,ทีม A,แก้ไขเรียบร้อย,
2026-01-22 12:29:00,MS 281,1,ทีม B,แก้ไขเรียบร้อย,
2026-01-09 16:29:00,ES 228,1,ทีม B,แก้ไขเรียบร้อย,
2026-01-08 13:10:00,TNS 244,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-15 10:00:00,ES 606,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-06 18:48:00,ES 498,1,ทีม A,แก้ไขเรียบร้อย,
2026-02-24 18:57:00,MS 014,1,ทีม B,แก้ไขเรียบร้อย,
2026-02-02 13:05:00,ES 250,1,ทีม B,แก้ไขเรียบร้อย,
2026-01-12 10:30:00,ES 098,1,ทีม B,แก้ไขเรียบร้อย,
