no,code,district,road,location,type,lat,long,folder_url
1,MS 001,ดุสิต,สามเสน,หน้าวิทยาลัยเขตเทเวศน์,Type A,13.770430,100.504430,
2,MS 003,ดุสิต,สามเสน,ตรงข้ามสี่แยกสามเสน ๑๑,Type A,13.776960,100.507850,
3,MS 004,ดุสิต,สามเสน,หน้าวิทยาลัยครูสวนสุนันทา,Type A,13.774880,100.506860,
4,MS 007,ดุสิต,พิชัย,ตรงข้ามสันนิบาตสหกรณ์แห่งประเทศไทย ข้างพรรคชาติไทย,Type A,13.779190,100.516780,
5,MS 008,ดุสิต,พิษณุโลก,ข้างกระทรวงศึกษาธิการ,Type A,13.767090,100.508990,
6,MS 009,ดุสิต,สุโขทัย,ข้างสุโขทัย ซ.๓๐,Type A,13.779280,100.514690,
7,MS 010,ดุสิต,สุโขทัย,หน้าสำนักงานสตรีบัณฑิตทางกฎหมาย,Type A,13.778190,100.517090,
8,MS 011,ดุสิต,สุโขทัย,หน้าสำนักงานเขตดุสิต,Type A,13.776870,100.520150,
9,MS 012,ดุสิต,พิชัย,ตรงข้ามสมาคมพิษย์เก่าวชิราวุธวิทยาลัย,Type A,13.776536,100.515396,
10,MS 013,ดุสิต,พิชัย,หน้าโรงเรียนวชิราวุธวิทยาลัย (1/2),Type A,13.777047,100.515740,
11,MS 014,ดุสิต,พิชัย,หน้าโรงเรียนวชิราวุธวิทยาลัย (2/2),Type A,13.777018,100.515727,
12,MS 015,ดุสิต,พิชัย,ตรงข้ามสมาคมพิษย์เก่าวชิราวุธวิทยาลัย (2/2),Type A,13.776577,100.515421,
13,MS 016,ดุสิต,สวรรคโลก,ตรงข้ามสุโขทัยแมนชั่น (1/2),Type A,13.772520,100.526886,
14,MS 017,ดุสิต,เดชะวนิช,ก่อนถึงแยกสะพานแดง,Type A,13.794662,100.530654,
15,MS 018,ดุสิต,สวรรคโลก,ตรงข้ามสุโขทัยแมนชั่น (2/2),Type A,13.772618,100.526915,
16,MS 019,ดุสิต,สวรรคโลก,ป้ายแรกจากแยกถนนนครอรัยยา,Type A,13.761784,100.522437,
17,MS 020,ดุสิต,พิษณุโลก,ตรงข้ามโรงเรียนพณิชยการพระนคร,Type A,13.762823,100.514380,
18,MS 021,ดุสิต,พิษณุโลก,ตรงข้ามโรงเรียนพณิชยการพระนคร,Type A,13.762712,100.514272,
19,MS 022,ดุสิต,พิษณุโลก,หน้าโรงเรียนพณิชยการพระนคร,Type A,13.762532,100.514199,
20,MS 023,ดุสิต,พิษณุโลก,หน้าโรงเรียนพณิชยการพระนคร,Type A,13.762864,100.514305,
21,MS 024,ดุสิต,พิษณุโลก,เลยทางเข้า-ออกสนามม้านางเลิ้ง,Type A,13.760308,100.517297,
22,MS 025,ดุสิต,พิษณุโลก,เลยทางเข้า-ออกสนามม้านางเลิ้ง,Type A,13.760286,100.517363,
23,MS 026,ดุสิต,สวรรคโลก,ก่อนถึงสะพานลอยยมราช,Type A,13.758401,100.521109,
24,MS 027,ดุสิต,สวรรคโลก,ก่อนถึงสะพานลอยยมราช,Type A,13.758319,100.521149,
25,MS 028,ดุสิต,ทหาร,ตรงข้ามกรมการทหารสื่อสาร (ทางไปสะพานควาย),Type A,13.794158,100.528424,
26,MS 029,ดุสิต,ราชวิถี,ก่อนถึงสะพานกรุงธนา ฝั่ง กทม.,Type A,13.779074,100.506781,
27,MS 030,ดุสิต,พิษณุโลก,หน้าโรงพยาบาลนิลมัย,Type A,13.758287,100.519147,
28,MS 033,ดุสิต,ราชวิถี,พระที่นั่งวิมานมณี (ตรงข้ามพระตำหนักราชวิถี),Type A,13.776215,100.513080,
29,MS 034,ดุสิต,ศรีอยุธยา,ตรงข้ามสหกรณ์เสือป่า,Type A,13.767745,100.512422,
30,MS 035,ดุสิต,สามเสน,ตรงข้ามซอยสามเสน ๑๑,Type A,13.776817,100.507753,
31,MS 036,ดุสิต,สวรรคโลก,ระหว่างแยกถนนอยุธยา และแยกถนนสุโขทัย,Type A,13.771994,100.526306,
32,MS 037,ดุสิต,ราชวิถี,ใกล้ช.ราชวิถี๘๓ ตรงข้ามสถาบันราชภัชวนสุดสิต,Type A,13.777446,100.510413,
33,MS 038,ดุสิต,ศรีอยุธยา,หน้าสหกรณ์เสือป่า (ใกล้พาณิชยการพระนคร),Type A,13.767797,100.512968,
34,MS 039,ดุสิต,พระราม ๕,หน้าวัดดิษมวล,Type A,13.778591,100.521829,
35,MS 040,ดุสิต,พระราม ๕,หน้าวัดน้อยนพคุณ,Type A,13.782620,100.524306,
36,MS 041,ดุสิต,ทหาร,เยื้องกองพลทหารม้าที่ ๑,Type A,13.795887,100.524842,
37,MS 042,ดุสิต,สุโขทัย,ตรงข้ามสมบูรณ์สตรีบัณฑิตทางกฎหมาย,Type A,13.777957,100.517324,
38,MS 043,ดุสิต,นครสวรรค์,ตรงข้าม ธ.เพื่อการเกษตร,Type A,13.760623,100.513891,
39,MS 044,ดุสิต,นครสวรรค์,ตรงข้าม ธ.เพื่อการเกษตร,Type A,13.760873,100.513865,
