no,code,district,road,location,type,lat,long,folder_url
1,NS 001,จตุจักร,ลาดพร้าว,หน้าโรงแรมลาดพร้าว,Type B,13.811233,100.564611,
2,NS 002,จตุจักร,ลาดพร้าว,หน้ากรมแผนที่ทหารใกล้ข.ลาดพร้าว60,Type B,13.792771,100.597052,
3,NS 003,จตุจักร,ลาดพร้าว,หน้าหมู่บ้านกลางเมือง (ก่อนถึงซอย ลาดพร้าว25),Type B,13.803993,100.577354,
4,NS 004,จตุจักร,ลาดพร้าว,ระหว่างลาดพร้าวซอย 35-35/1 (ตรงข้าม ซ.ลาดพร้าว 42),Type B,13.801679,100.581428,
5,NS 005,จตุจักร,รัชดาภิเษก,ตรงข้ามรัชดาหินอ่อน (ทางไปกรมส่งเสริมการส่งออก),Type B,13.824014,100.573175,
6,NS 006,จตุจักร,รัชดาภิเษก,ซอยรัชดาภิเษก 36,Type B2,13.820944,100.575119,
7,NS 007,จตุ่จักร,รัชดาภิเษก,"หน้าศาลอาญา (2), เยื้องศูนย์แสดงสินค้ากรมพาณิชย์สัมพันธ์",Type B,13.815603,100.575365,
8,NS 008,จตุจักร,พหลโยธิน,ตรงข้ามสภาวิจัยแห่งชาติ,Type B,13.84545,100.57903,
9,NS 009,จตุจักร,พหลโยธิน,หน้าร้านเกียรติประสาสน์ (ไกล้พหลโยธิน 18),Type B2,13.797043,100.55102,
10,NS 010,จตุจักร,พหลโยธิน,ตรงข้ามธนาคารทหารไทยธนชาต สำนักงานใหญ่,Type B2,13.808983,100.557308,
11,NS 011,จตุจักร,พหลโยธิน,โรงเรียนบางบัว,Type B2,13.856511,100.585225,
12,NS 013,จตุจักร,กำแพงเพชร 2,ตรงข้ามซอยวิภาวดี 1ด,Type B,13.822925,100.549149,
13,NS 014,จตุจักร,กำแพงเพชร 2,ซอยวิภาวดี 11,Type B2,13.824358,100.549307,
14,NS 015,จตุจักร,กำแพงเพชร 2,หน้าJ MALL,Type B,13.801598,100.548366,
15,NS 016,จตุจักร,กำแพงเพชร 2,สถานีขนส่งผู้โดยสารกรุงเทพ (จตุจักร),Type B2,13.813468,100.549811,
16,NS 017,จตุจักร,กำแพงเพชร 2,ด ตรงข้ามสถานีขนส่งผู้โดยสารกรุงเทพ (จตุจักร),Type B2,13.812754,100.549944,
17,NS 018,จตุจักร,กำแพงเพชร,หน้าสวนอาหารเจ้าจอม,Type B2,13.804262,100.54831,
18,NS 020,จตุจักร,เทศบาลสงเคราะห์,ซอยเทศบาลรังรักษ์เหนือ,ลอนโค้ง,13.840062,100.54682,
19,NS 021,จตุจักร,เทศบาลสงเคราะห์,ซอยเทศบาลรังรักษ์ใต้,ลอนโค้ง,13.839984,100.546264,
