ticket_id,match_status,shelter_code,shelter_type,district_shelter,road,shelter_location,distance_m,nearest_2nd,distance_2nd_m,work_type,report_count,description,district_case,case_address,case_lat,case_long,shelter_lat,shelter_long,match_code,match_tor,match_district,match_dist_m
ABREZU,matched,MS023,Type A,ดุสิต,พิษณุโลก,หน้าโรงเรียนพณิชยการพระนคร,0.7,MS020,8.6,ไฟ/แสงสว่าง,1,"ปัญหา: ริมถนนดังกล่าว บริเวณด้านหน้าสนามม้านางเลิ้ง พบดวงไฟฟ้าส่องสว่างป้ายรอรถโดยสารประจำทางดับชำรุด ทำให้บริเวณดังกล่าวมืดมาก  ถนน: พิษณุโลก เขต: ดุสิต
 #1555",ดุสิต,ป้ายรถประจำทาง กระทรวงศึกษาธิการ 3 แขวงสวนจิตรลดา เขตดุสิต 10300,13.76286,100.51431,13.762864,100.514305,MS 023,MS,ดุสิต,0.7
2025-F2FXKW,matched,ES500,หลังเล็ก,บางกะปิ,ลาดพร้าว,ตรงข้ามเดอะมอลล์บางกะปี,4.8,ES325,333.1,ที่นั่ง/ม้านั่ง,1,ที่นั่งป้ายรถเมล์ไม่เพียงพอ ทั้งๆที่ป้ายนี้ ผู้โดยสารเยอะมาก,บางกะปิ,เอ็นมาร์คพลาซ่า แขวงคลองจั่น บางกะปิ 10240,13.76744,100.64296,13.767418,100.642922,ES 500,ES,บางกะปิ,4.8
2025-EF6DC3,matched,ES222,Type B,มนบุรี,รามคำแหง,ตรงข้ามสำนักงานประปาสาขามีนบุรี,8.8,ES220,171.3,ไฟ/แสงสว่าง,1,คือรออยู่ป้ายรถเมล์จุดนี้ รู้สึกไม่ปลอดภัยมากเลยครับ เพราะหนึ่งคือ น้ำท่วมขัง แล้วรถยนต์ขับแรงมาก ทำให้น้ำสาดมาที่ป้ายรถเมล์ เลยรู้สึกไม่โอเคเรื่องถนนละคระบ สอง,มีนบุรี,หมู่บ้านฟอร์เรสปาร์ค แขวงแสนแสบ เขตมีนบุรี 10510,13.8146,100.74127,13.814679,100.741267,ES 222,ES,มนบุรี,8.8
2025-9C4C3R,matched,MS274,Type B,พระนคร,สนามไชย,ตรงข้าม หน้าร.ร.วัดราชบพิธ หน้ามิวเซียมสยาม (ก่อนถึงซอยเศรษฐการ) (ทดแทน),15,MS273,29.1,ไฟ/แสงสว่าง,1,📢🔊💡🚍แจ้ง ไฟป้ายรถประจำทางดับ 😱 *️⃣หมายเลขตามภาพแนบ 💡จำนวนไฟทั้งหมด 3 ดวง 💡ดับสนิท 3 ดวง😭 🗣️รบกวนตรวจสอบแก้ไข 📸 📌ตรง ป้ายรถ ร.ร.วัดราชบพิธ 🛣️ถนนสนามไชย 🙏👷👩‍🔧ขอขอ,พระนคร,PFVV+MX4 แขวงพระบรมมหาราชวัง เขตพระนคร 10200,13.74412,100.49471,13.7442,100.494598,MS 274,MS,พระนคร,15.0
WPCXEP,matched,SS157,Type A,บางรัก,สี่พระยา,หน้าวัดแก้วแจ่มฟ้า,27,SS236,450.5,ไฟ/แสงสว่าง,1,ปัญหา: ภายในศาลาที่พักผู้โดยสาร หน้าวัดแก้วแจ่มฟ้า พบดวงไฟฟ้าส่องสว่าง ไม่เปิดใช้งาน จำนวน  3 ดวง เป็นเวลา  6 เดือนแล้ว ทำให้บริเวณนั้นมืดมาก ถนน: สี่พระยา จุดส,บางรัก,วัดแก้วแจ่มฟ้า แขวงสี่พระยา เขตบางรัก 10500,13.73089,100.51951,13.730939,100.519755,SS 157,SS,บางรัก,27.0
2025-3E3UX9,matched,NS249,Type A,จตุจักร,พหลโยธิน,ตรงข้ามซอยพหลโยธิน 18/2 (1),40.4,NS250,41.9,ไฟ/แสงสว่าง,1,อยากให้ทำป้ายรถเมล์ป้ายธนาคารทหารไทย ให้เป็นป้ายประจำสักที ป้ายชั่วคราวทั้งเปลี่ยว มืด ไฟไม่สว่าง บางครั้งคนขับรถเมล์ไม่เห็นผู้โดยสาร ต้องเปิดไฟฉายจ่อเอา,จตุจักร,1014/4 ถ. พหลโยธิน แขวงจอมพล เขตจตุจักร 10900,13.80742,100.55683,13.807608,100.55651,NS 249,NS,จตุจักร,40.4
2025-HAGEHU,matched,SS235,Type B2,คลองเตย,สุนทรโกษา,สโมสรท่าเรือ,41.8,SS053,263.8,ไฟ/แสงสว่าง,1,เรื่องป้ายรถเมล์ที่แจ้งไปหลายครั้ง2ครั้งแล้วบอกทำเส็จแล้วไม่เห็นไฟติดเลยต่อไปไฟป้ายรถเมลทีพักผู้โดยสารจุดนี้ผมจะไม่แจ้งให้แล้วเพราะไม่ได้รับการแก้ไขเลยใกล้หน้าส,คลองเตย,139 ถ. สุนทรโกษา แขวงคลองเตย เขตคลองเตย 10110,13.71655,100.56112,13.716176,100.56108,SS 235,SS,คลองเตย,41.8
2025-WWWY77,matched,ES468,Type B2,บางกะปี,รามคำแหง,ระหว่างซอยรามคำแหง 83/1 - 83/2 (หน้าโรงแรมANDA) 1,55,ES469,63.3,หลังคา/กันแดดฝน,1,หน้าปากซอยรามคำแหง 36/1 ตรงสถานีหัวหมาก (สีส้ม) มีป้ายรถเมล์ แต่ไม่ทำป้ายถาวร มีหลังคาบังแดด กันฝนให้คนที่มารอรถเมล์เลย นานแล้วนะ ไม่มีหน่วยงานไหนสนใจ ป้ายอยู่ต,บางกะปิ,462 1 ซอย รามคำแหง 36/1 แขวงหัวหมาก บางกะปิ 10240,13.76156,100.63769,13.761906,100.638054,ES 468,ES,บางกะปี,55.0
2025-KUZUE7,matched,ES306,TypeA,บางกะปิ,รามคำแหง,ข้างประตูใหญ่ มหาวิทยาลัยรามคำแหง ( ติด WF 119) สะพานลอยคนข้าม,63.9,MS073,354.1,ที่นั่ง/ม้านั่ง,1,ป้ายรถประจำทางหน้าป้ายมหาวิทยาลัยรามคำแหง มีเก้าอี้หลุดอยู่ตรงนี้ครับไม่แน่ใจว่ามาจากไหน,บางกะปิ,1181 ถนน รามคำแหง แขวงหัวหมาก บางกะปิ 10240,13.75917,100.61806,13.759382,100.61861,ES 306,ES,บางกะปิ,63.9
EU3RT3,matched,NS083,Type B2,บางซื่อ,ประชาราษฎร์ สาย1,ตรงข้ามบ. พงศ์ถาวรกิจ,79.3,NS082,311,ที่นั่ง/ม้านั่ง,1,ปัญหา: เรื่องเดิม หน้าปากซอยดังกล่าว บริเวณป้ายรถโดยสารประจำทาง ต้องการให้ติดตั้งเก้าอี้ที่นั่งรอรถโดยสารประจำทาง เนื่องจากประชาชนยืนรอรถนาน สร้างความเดือดร้อนใ,บางซื่อ,"445 Pracha Rat Sai 1 Rd, แขวงบางซื่อ บางซื่อ 10800",13.80708,100.52156,13.807784,100.521676,NS 083,NS,บางซื่อ,79.3
3WTYUW,matched,MS203,Type B2,พระนคร,รอบสนามหลวง,2 หน้าศาลอาญา,99.9,MS204,141.7,หลังคา/กันแดดฝน,1,ปัญหา: ถนนดังกล่าว หน้าสนามหลวง บริเวณป้ายรอรถโดยสารประจำทาง พบไม่มีหลังคา ทำให้ประชาชนที่มารอรถโดยสารไม่มีที่หลบฝน จึงขอให้มีการสร้างหลังคาและขอให้มีการเพิ่มป้,พระนคร,สนามหลวง (ตรงข้ามศาลฎีกา) แขวงพระบรมมหาราชวัง เขตพระนคร 10200,13.75463,100.49388,13.753734,100.493952,MS 203,MS,พระนคร,99.9
2025-T488WT,matched,ES521,หลังเล็ก,สะพานสูง,เคหะร่มเกล้า,ปากซอยเคหะร่มเกล้า 82,151.9,ES504,208.4,ไฟ/แสงสว่าง,1,ไฟบริเวณป้ายรถประจำทางดับ,สะพานสูง,ตรงข้ามทองธาราวิลล่า แขวงราษฎร์พัฒนา สะพานสูง 10240,13.77575,100.70618,13.774599,100.706937,ES 521,ES,สะพานสูง,151.9
2025-K9PB87,matched,NS068,Type B2,บางซื่อ,กรุงเทพ-นนทบุรี,ตรงข้ามวัดทองสุธาราม(ตรงข้ามซ.56),165.2,NS029,332,ไฟ/แสงสว่าง,1,ป้านหยุดรถเมล์ ไม่มีสิ่งอำนวยความสะดวก ไม่มีไฟฟ้าส่องสว่างเพียงพอให้เกิดความปลอดภัยต่อชีวิตและทรัพย์สินเวลาใช้บริการรถเมล์ ป้ายเก่า ไม่มีที่นั่งที่อยู่ในสภาพดีแ,บางซื่อ,MRT วงศ์สว่าง (ทางออก 1) แขวงวงศ์สว่าง บางซื่อ 10800,13.82988,100.52641,13.830779,100.525192,NS 068,NS,บางซื่อ,165.2
KWY2UV,matched,NS074,Type B2,บางซื่อ,กรุงเทพ-นนทบุรี,ตรงข้ามศูนย์ฝึกอาชีพทหารผ่านศึก,166.5,NS073,195.5,ไฟ/แสงสว่าง,1,ปัญหา: บริเวณป้ายรอรถโดยสารประจำทาง ทางลงจากสถานีรถไฟบางซ่อน ฝั่งขาเข้า พบว่าไม่มีเก้าอี้นั่งภายในที่พักผู้โดยสาร จึงขอให้พิจารณาให้มีการติดตั้ง ถนน: กรุงเทพ - ,บางซื่อ,ตรงข้ามตลาดบางซ่อน แขวงบางซื่อ บางซื่อ 10800,13.8215,100.53273,13.822997,100.532765,NS 074,NS,บางซื่อ,166.5
